apvExpLabId,apvCodApli,apvCodEmpresa,apvCodCargo
5745,240740,7704,2981
9588,232174,7716,4155
8249,242699,7717,4158
10039,237156,7725,4842
4077,239555,7727,1910
4666,239599,7734,3571
4332,239529,7738,1860
4085,239565,7743,4447
3941,239284,7747,2401
5578,240247,7748,3003
7769,242440,7753,4117
7221,242014,7755,4961
6312,241263,7758,1807
3100,238552,7759,3501
2625,238574,7762,3565
880,234919,7764,3399
10810,232689,7767,37
12175,243623,7768,2334
11674,243122,7770,3798
13417,244385,7772,3752
13413,244383,7776,419
13022,244159,7779,24
12747,244002,7783,4747
12857,244066,7786,5008
12845,244056,7788,407
11691,243143,7790,3885
11643,243056,7791,4206
11755,238311,7793,3559
6946,238361,7799,5010
7224,241390,7801,4710
7485,241021,7802,160
1375,236588,7807,1646
9583,232061,7812,1694
10700,233568,7814,2892
1280,234926,7815,2652
7465,242120,7818,2898
8210,242582,7823,2902
8150,242833,7824,529
5428,240044,7825,2904
3925,239318,7827,2907
7529,242237,7836,2909
7699,242483,7840,2847
7340,242208,7843,2912
7367,242067,7845,2917
1403,236714,7851,2920
1584,234331,7856,2922
9513,236444,7859,2925
10312,232279,7860,2926
13883,244721,7864,2928
13884,244724,7868,2932
10086,232379,7871,2934
7838,242554,7877,309
10928,234137,7881,2945
10465,233126,7882,3049
11571,238010,7884,2952
3914,235120,7888,2959
830,234549,7889,2964
5879,240753,7892,2968
7349,242219,7896,2972
7738,242297,7897,2978
12521,243902,7900,2979
9988,236458,7901,2980
9903,236433,7905,2149
9485,235365,7911,2984
3509,239187,7913,89
8432,242969,7917,2224
9301,231819,7919,428
2355,238324,7920,2996
6686,241660,7921,2998
7482,242308,7922,3001
1511,237474,7929,512
1417,231777,7930,3004
4749,239636,7934,2808
1281,232957,7935,3007
1755,236918,7939,3365
10410,232465,7941,3391
10649,233214,7942,3027
5636,240715,7943,3029
7123,233844,7945,3030
5722,240850,7946,2596
9809,232284,7950,3244
6078,239897,7951,481
7017,239948,7956,4
8707,231792,7958,3046
8227,242086,7968,2127
8180,242896,7971,3051
9375,231797,7978,3057
10050,236911,7979,2481
10045,231141,7980,3067
12412,233740,7982,3069
12833,235563,7983,3070
12781,237098,7984,3076
12738,239968,7987,3077
12624,232026,7989,3081
12646,241249,7990,594
13290,236695,7993,3083
13522,240956,7995,3316
11688,231564,8004,3669
12036,240060,8005,2450
6920,238054,8006,3090
7189,233447,8018,3092
5822,236781,8021,3094
4778,239919,8025,3098
4791,239944,8029,2708
4719,239801,8030,2423
4721,238075,8031,2028
4055,239511,8035,3109
2116,232384,8038,427
1941,231515,8040,2974
1976,238067,8044,77
2724,238813,8047,2140
3538,235752,8053,3120
3889,232155,8054,4381
3105,232404,8055,2651
3116,238620,8058,3131
1617,237932,8064,1781
3275,238754,8066,3524
3279,238770,8068,3137
4319,239393,8076,3139
4845,240043,8086,3142
6777,241884,8089,3146
2683,238689,8093,3188
2209,238378,8095,602
11388,235201,8105,3582
9933,232170,8110,3064
10286,232283,8112,3018
10288,232582,8130,3167
9563,231888,8133,3170
9760,231920,8140,2694
8700,231691,8143,2688
2216,238442,8145,3175
2627,238575,8153,3177
2644,238606,8154,3178
1898,237853,8155,561
2804,238949,8163,3181
3507,239168,8166,3740
3580,238341,8170,3190
6852,242132,8173,1759
7188,241948,8175,3357
7291,241981,8177,3908
7371,242251,8184,2290
7422,242275,8192,3540
7525,242419,8193,1709
4155,239668,8195,2615
5569,239752,8196,4901
2054,237842,8200,3441
1384,236651,8201,2186
9633,235826,8202,3224
10052,235845,8209,1731
11224,235806,8211,3594
11226,235848,8214,3238
9362,231332,8215,72
7466,242121,8218,3241
4203,236898,8219,3243
12660,243967,8224,3103
4830,240017,8228,3245
10290,232547,8235,3249
3396,239149,8240,2915
9734,232166,8242,3251
3406,239184,8245,3252
1470,236470,8248,3258
9666,236368,8249,1857
10172,232022,8265,3262
1586,237289,8270,1999
3260,238723,8296,3274
4876,240272,8299,3277
6549,241243,8301,3279
7046,241695,8302,3284
7117,234801,8304,1845
2226,238453,8305,3289
11026,233932,8311,3296
1391,236685,8318,3301
5709,240830,8320,3877
12533,241860,8322,3302
11429,234379,8324,3303
10372,236485,8325,12
1560,237816,8331,3321
1754,236869,8332,3523
12713,243994,8333,3324
9748,231798,8336,3329
5422,240556,8343,3189
4111,239596,8346,3331
7106,234576,8349,79
6620,241410,8350,3337
3469,239118,8351,3338
3383,239104,8352,2315
12380,243782,8353,1929
5883,240849,8355,3350
3339,239059,8357,3355
1749,236070,8359,3358
1637,237833,8360,2074
11403,236064,8362,3361
12095,243556,8364,3364
9705,232229,8366,2834
11730,243183,8372,3370
1522,236526,8374,3373
4212,238629,8378,3378
2788,238783,8381,3380
1322,235681,8385,3382
4686,239697,8388,3383
7126,232951,8393,3384
9937,232109,8409,1645
5756,240925,8417,3386
11413,232917,8420,3387
9996,230883,8428,3388
10352,235333,8433,2201
9270,230919,8434,3393
11620,243035,8435,3398
3284,238774,8442,1989
3379,239090,8449,2744
3588,239372,8450,343
2608,238515,8461,3402
11650,243093,8463,3405
4779,239920,8465,3639
8169,242877,8466,3408
9590,232178,8468,1669
10847,232979,8472,3112
8488,231705,8475,3411
11234,236448,8476,3417
6131,240141,8479,3418
1726,236773,8483,3196
8702,231430,8485,3422
2725,238814,8486,3425
1745,237103,8488,2561
1746,237104,8489,3433
10382,237101,8495,2642
5791,241011,8498,3439
4106,239593,8501,3442
10153,232937,8503,3447
4340,239537,8506,4596
7548,242453,8507,3451
7742,242397,8508,3452
7429,242342,8509,3454
1967,238058,8510,3462
1644,237937,8513,1758
2594,232574,8515,3460
3326,239043,8518,3513
3329,239045,8522,3463
10552,232435,8525,3902
12224,243590,8528,3528
12086,243549,8533,3477
7148,241835,8536,3483
8170,231987,8538,3484
7915,242421,8542,3485
4042,236432,8543,3488
859,234817,8544,3497
7410,242306,8553,3498
11436,234164,8555,1804
1217,235961,8557,3505
10736,232451,8559,1806
10551,232390,8564,3475
11873,243311,8567,3536
12813,244043,8569,3512
12682,243974,8573,3526
8232,242934,8574,4445
6102,240068,8575,1658
1404,236330,8577,3529
1630,237235,8581,278
4084,239562,8588,3535
9866,234721,8589,3538
10035,236209,8590,3541
8282,238549,8594,3545
7734,242259,8599,3551
1569,235940,8600,3552
11291,234201,8601,3562
1928,237672,8603,451
4009,235866,8605,3567
9995,236495,8607,3569
10134,232720,8611,3575
849,234552,8617,3577
1464,236405,8620,3579
12136,243592,8622,3580
11555,236422,8625,3612
4860,240202,8626,3589
11094,233564,8635,3590
7257,239721,8640,487
1546,237592,8642,93
11562,233455,8647,3608
10257,232411,8650,3610
1587,235844,8657,3613
1932,231398,8658,3616
1273,234796,8659,4976
7100,234570,8662,3619
10724,234173,8663,3625
10442,232386,8664,3626
10330,233064,8667,3627
10200,232204,8668,3312
10226,232099,8669,3632
10757,232576,8673,3633
9524,236608,8674,5023
1632,237366,8676,3638
7130,231570,8679,3641
8259,242721,8681,2716
8663,230762,8686,3886
10763,232623,8688,2935
7435,242346,8689,4509
4195,239758,8694,2715
1487,237025,8696,3643
9604,232226,8697,3644
7240,242032,8698,2851
1532,236998,8700,66
10758,232593,8701,3677
9898,236369,8707,2821
10803,232603,8710,263
7273,233919,8712,1970
1287,233503,8715,2536
10238,232293,8722,422
10162,232808,8724,609
5776,236372,8728,1009
5871,240692,8730,20
5861,240624,8733,3650
5629,239834,8736,4566
4740,239604,8738,3651
6388,241366,8742,264
3288,237191,8743,3042
9500,236121,8747,76
12694,243985,8748,3657
11014,234279,8752,3344
9808,232264,8754,4687
7993,242796,8759,170
10281,232263,8764,3207
9939,232151,8765,432
1387,236667,8766,396
6483,241061,8769,2806
7470,242125,8771,3658
4809,240001,8777,2443
4264,239832,8780,2701
4330,239526,8783,1854
4095,239583,8787,3280
4129,239660,8789,359
3990,239441,8807,3659
3315,236801,8808,2377
3403,239175,8820,4799
2801,238931,8821,2655
2828,238984,8823,2455
3479,239128,8826,3413
2077,238217,8836,1672
2167,238080,8837,40
8312,242768,8842,2523
11578,238049,8846,4112
11860,243288,8850,3673
7015,231402,8851,3674
6495,241117,8852,3843
5415,240447,8857,3680
2052,237916,8862,2671
1324,235688,8866,2180
1537,237673,8867,3690
10054,237428,8868,1886
10778,232925,8870,3692
3800,234472,8871,3694
2596,238484,8873,2763
7540,232797,8874,3697
11806,243241,8876,3038
12475,236717,8878,70
12504,237404,8881,3705
9450,231723,8886,2696
5907,241098,8892,176
6683,241651,8893,3726
10661,232872,8896,1776
10089,232385,8911,2887
8693,231611,8914,373
7331,242074,8924,558
5782,241001,8932,1738
5047,240348,8933,3738
1270,234642,8935,3739
2646,238608,8937,3743
9934,232171,8943,226
11027,230867,8950,3746
8430,240025,8951,397
7908,242478,8952,3749
3550,238415,8953,16
7198,241973,8956,304
6768,241828,8957,4010
11619,243034,8962,3758
7270,241927,8967,1877
2842,239010,8971,3761
5759,240932,8973,3767
12815,244045,8976,4480
9973,235439,8977,3769
10735,232472,8979,3773
6656,241581,8980,3748
5855,241064,8984,4773
1554,237682,8987,244
11786,243221,8988,3781
3503,239163,8989,3785
4815,239853,8993,3123
6370,241342,8994,3803
10236,232318,8998,3809
12508,243893,9001,3810
6516,241207,9003,3811
11515,236477,9005,4067
4211,238630,9008,464
4080,239558,9010,4120
7045,241694,9012,3819
9352,230830,9015,3824
4923,240416,9018,2579
6743,241816,9021,3828
10245,232376,9024,3835
1658,237957,9025,1887
10817,233063,9039,3840
10540,232923,9042,4086
7113,234835,9045,3985
4010,236421,9046,340
5880,240752,9048,4621
3803,234666,9060,3860
4941,239618,9063,3861
4709,239792,9064,3684
9790,232111,9065,3863
8137,237844,9068,168
8336,242923,9069,3866
9293,231760,9071,2889
12074,243526,9072,3870
5034,240166,9073,4627
5038,240220,9079,3882
5711,240834,9083,3883
1590,237855,9085,2530
2280,231175,9087,527
3253,238716,9088,2161
2763,238892,9089,4435
6534,241288,9094,4651
7158,241872,9100,2569
7294,241990,9110,2706
7401,242175,9116,3888
7008,242276,9122,3894
6917,241780,9124,3686
1591,237856,9128,2433
11942,243362,9129,2866
12048,243497,9133,515
11835,243276,9136,3903
12258,243694,9138,103
8224,242919,9140,1678
7903,233006,9144,3920
4962,232908,9149,4911
